
=== distintos: corr(L,R)=+0.0051
  buena_brutal brutal_aformat_u8          desf=   0  ref=[+0.9999 +0.9989]  grafo=[0.9995, 0.9957]
  buena_brutal brutal_opus6k_mono_a_estereo desf=   6  ref=[+0.1018 +0.2661]  grafo=[0.0326, 0.2345]

=== fase_inv: corr(L,R)=-1.0000
  buena        opus_6k                    desf=-181  ref=[+0.0111 -0.0111]  grafo=[0.0, -0.0013]
  mala         opus_6k                    desf=   6  ref=[+0.8588 -0.8588]  grafo=[0.6393, -0.635]
  buena        opus_8k                    desf=-181  ref=[+0.0111 -0.0111]  grafo=[0.002, -0.0039]
  mala         opus_8k                    desf=   6  ref=[+0.9339 -0.9339]  grafo=[0.6797, -0.6766]
  buena        opus_16k                   desf= -20  ref=[+0.0069 -0.0069]  grafo=[0.002, -0.004]
  mala         opus_16k                   desf=   0  ref=[+0.9837 -0.9837]  grafo=[0.9837, -0.9758]
  buena        opus_32k                   desf=   0  ref=[+0.9934 +0.9934]  grafo=[0.9934, 0.9934]
  mala         opus_32k                   desf=   0  ref=[+0.9745 -0.0036]  grafo=[0.9745, -0.0036]
  buena        opus_96k                   desf=   0  ref=[+0.9988 +0.9988]  grafo=[0.9988, 0.9988]
  mala         opus_96k                   desf=   0  ref=[+0.9975 -0.0066]  grafo=[0.9975, 0.0]
  buena        mp3_32k                    desf=   0  ref=[+0.9914 +0.9914]  grafo=[0.9914, 0.9914]
  mala         mp3_32k                    desf=   0  ref=[+0.9917 +0.0000]  grafo=[0.9917, 0.0]
  buena        mp3_64k                    desf=   0  ref=[+0.9993 +0.9993]  grafo=[0.9993, 0.9993]
  mala         mp3_64k                    desf=   0  ref=[+0.9993 +0.0000]  grafo=[0.9993, 0.0]
  buena        mp3_192k                   desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         mp3_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        mp3_q9                     desf=   0  ref=[+0.9987 +0.9987]  grafo=[0.9987, 0.9987]
  mala         mp3_q9                     desf=   0  ref=[+0.9984 +0.0000]  grafo=[0.9984, 0.0]
  buena        aac_32k                    desf=   0  ref=[+0.9926 +0.9926]  grafo=[0.9926, 0.9926]
